0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
9.803921568627450844e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.901960784313725839e-01
2.459016393442622905e-02,1.639344262295082053e-02,0.000000000000000000e+00,8.196721311475410263e-03,9.508196721311474864e-01
3.011583011583011671e-01,1.312741312741312616e-01,3.166023166023165802e-01,2.162162162162162282e-01,3.474903474903474898e-02
3.191489361702127825e-01,4.255319148936170109e-02,1.063829787234042562e-01,4.468085106382978511e-01,8.510638297872340219e-02
2.857142857142856984e-01,1.978021978021977934e-01,1.978021978021977934e-01,2.307692307692307820e-01,8.791208791208791895e-02
5.000000000000000000e-01,2.272727272727272652e-01,1.363636363636363535e-01,9.090909090909091161e-02,4.545454545454545581e-02
1.666666666666666574e-01,2.307692307692307820e-01,3.076923076923077094e-01,1.923076923076923184e-01,1.025641025641025605e-01
1.578947368421052544e-01,1.184210526315789408e-01,1.710526315789473728e-01,5.394736842105263275e-01,1.315789473684210453e-02
1.333333333333333419e-02,2.666666666666666838e-02,2.666666666666666838e-02,0.000000000000000000e+00,9.333333333333333481e-01
1.666666666666666574e-01,2.142857142857142738e-01,3.571428571428571508e-01,2.142857142857142738e-01,4.761904761904761640e-02
2.266666666666666552e-01,1.600000000000000033e-01,1.733333333333333393e-01,3.866666666666666585e-01,5.333333333333333676e-02
1.666666666666666574e-01,8.333333333333332871e-02,3.333333333333333148e-01,3.055555555555555802e-01,1.111111111111111049e-01
2.337662337662337608e-01,2.337662337662337608e-01,1.818181818181818232e-01,3.116883116883116811e-01,3.896103896103896014e-02
3.870967741935483764e-01,2.903225806451613100e-01,3.225806451612903136e-02,2.580645161290322509e-01,3.225806451612903136e-02
2.727272727272727071e-01,3.246753246753246724e-01,1.298701298701298579e-01,1.558441558441558406e-01,1.168831168831168804e-01
2.362204724409448786e-02,0.000000000000000000e+00,3.149606299212598381e-02,0.000000000000000000e+00,9.448818897637795144e-01
2.702702702702702853e-01,3.243243243243243423e-01,1.351351351351351426e-01,2.432432432432432567e-01,2.702702702702702853e-02
1.406250000000000000e-01,4.531250000000000000e-01,2.343750000000000000e-01,9.375000000000000000e-02,7.812500000000000000e-02
2.222222222222222099e-01,2.222222222222222099e-01,1.481481481481481399e-01,2.962962962962962798e-01,1.111111111111111049e-01
1.491228070175438514e-01,7.017543859649122417e-02,1.842105263157894635e-01,5.350877192982456121e-01,6.140350877192982115e-02
2.368421052631578816e-01,2.368421052631578816e-01,1.578947368421052544e-01,2.105263157894736725e-01,1.578947368421052544e-01
1.147540983606557402e-01,1.639344262295082053e-02,1.639344262295082053e-02,1.639344262295082053e-02,8.360655737704918433e-01
1.481481481481481399e-01,5.925925925925925597e-01,2.037037037037036924e-01,1.851851851851851749e-02,3.703703703703703498e-02
